factor,A: urgent_slots
level,level_label,marginal_mean,contrast_vs_ref
10,10,0.431716,0.000000
11,11,0.423091,-0.008625
12,12,0.418507,-0.013210
13,13,0.416420,-0.015296
14,14,0.420715,-0.011001
15,15,0.434156,0.002440
16,16,0.468363,0.036647
17,17,0.581426,0.149710
18,18,1.160668,0.728952
19,19,6.840107,6.408391
20,20,19.383523,18.951807

factor,B: strategy
level,level_label,marginal_mean,contrast_vs_ref
1,1,2.850289,0.000000
2,2,2.800828,-0.049461
3,3,2.797618,-0.052671

factor,C: rule
level,level_label,marginal_mean,contrast_vs_ref
1,FCFS,2.815944,0.000000
2,Bailey-Welch,2.812671,-0.003272
3,Blocking,2.821891,0.005947
4,Benchmarking,2.814474,-0.001470

