screening,design,strategy,slots,rule,mean_response,sd_response,n,mean_elAppWT,mean_urScanWT,mean_OT,mean_OV
screening_1,S2-12-rule2,2,12,2,0.3935237736647361,0.07000807156786985,740,16.86947401891892,2.6379921405405407,1.0756787378378379,0.3935237736647361
screening_1,S2-12-rule1,2,12,1,0.39607685915915913,0.07005775669320505,740,16.274114367567567,2.692864177027027,1.1245737108108107,0.39607685915915913
screening_1,S2-10-rule2,2,10,2,0.40515683895709326,0.06332892188964105,320,14.396249478125,2.8751839,1.08219396875,0.40515683895709326
screening_1,S2-10-rule1,2,10,1,0.4075357978794643,0.06352346357963332,320,13.807758293750002,2.92812084375,1.12917871875,0.4075357978794643
screening_1,S1-12-rule2,1,12,2,0.4430997226083226,0.06832152536606032,740,17.3265436972973,3.059689805405405,0.7844607486486486,0.4430997226083226
screening_1,S1-12-rule1,1,12,1,0.4471177785821536,0.06851895014258816,740,16.690725443243245,3.1299140013513513,0.8339198945945946,0.4471177785821536
screening_1,S1-10-rule2,1,10,2,0.45178639477926585,0.06549351842681414,320,14.82074690625,3.2721089687499996,0.765136221875,0.45178639477926585
screening_1,S1-10-rule1,1,10,1,0.45594442395833334,0.06590446295888015,320,14.1988168,3.3428489156250003,0.8139078281250001,0.45594442395833334
screening_2,S2-12-rule2,2,12,2,0.3935237736647361,0.07000807156786985,740,16.86947401891892,2.6379921405405407,1.0756787378378379,0.3935237736647361
screening_2,S2-14-rule2,2,14,2,0.39949146012588943,0.0817675742471623,1160,22.293013475862068,2.4011545620689656,1.0544336068965519,0.39949146012588943
screening_2,S3-14-rule2,3,14,2,0.402100514951081,0.08197983458856346,1160,22.105702654310345,2.4346705637931034,1.1177924948275864,0.402100514951081
screening_2,S2-12-rule3,2,12,3,0.4038317554000429,0.07008049711475206,740,16.86192293243243,2.731168498648649,1.1147893216216216,0.4038317554000429
screening_2,S3-12-rule2,3,12,2,0.40465463091484344,0.068937167941135,740,16.725882105405404,2.74586227972973,1.1582669527027027,0.40465463091484344
screening_2,S3-14-rule3,3,14,3,0.4062142116721401,0.08195739885909117,1160,22.02908068275862,2.4757985827586206,1.1605325818965517,0.4062142116721401
screening_2,S3-12-rule3,3,12,3,0.4093247678061991,0.06914025110673029,740,16.630469777027027,2.7930048864864867,1.2061254743243244,0.4093247678061991
screening_2,S2-14-rule3,2,14,3,0.41439659802442524,0.08151213801754763,1160,22.213556309482758,2.5395574370689653,1.0968842172413793,0.41439659802442524
screening_3,S2-14-rule2,2,14,2,0.39949146012588943,0.0817675742471623,1160,22.293013475862068,2.4011545620689656,1.0544336068965519,0.39949146012588943
screening_3,S3-14-rule2,3,14,2,0.402100514951081,0.08197983458856346,1160,22.105702654310345,2.4346705637931034,1.1177924948275864,0.402100514951081
screening_3,S3-14-rule3,3,14,3,0.4062142116721401,0.08195739885909117,1160,22.02908068275862,2.4757985827586206,1.1605325818965517,0.4062142116721401
screening_3,S2-14-rule3,2,14,3,0.41439659802442524,0.08151213801754763,1160,22.213556309482758,2.5395574370689653,1.0968842172413793,0.41439659802442524
screening_3,S3-16-rule2,3,16,2,0.45159154779649785,0.13551725271763654,4070,38.64895519705159,1.9938441874692876,0.7270041137592138,0.45159154779649785
screening_3,S3-16-rule3,3,16,3,0.45642571371826374,0.13568620116651256,4070,38.61276101523342,2.0392906547911545,0.7713126262899263,0.45642571371826374
screening_3,S2-16-rule2,2,16,2,0.466458284996685,0.1361457759883134,4070,38.726522602457,2.1234894255528256,0.86969362997543,0.466458284996685
screening_3,S2-16-rule3,2,16,3,0.4820544417485667,0.13623792322713185,4070,38.70592318280099,2.2649583766584764,0.9134585805896805,0.4820544417485667
screening_4,S2-12-rule2,2,12,2,0.3935237736647361,0.07000807156786985,740,16.86947401891892,2.6379921405405407,1.0756787378378379,0.3935237736647361
screening_4,S2-12-rule4,2,12,4,0.39473589709084084,0.07000481535784302,740,16.331461006756758,2.677723377027027,1.1128040702702702,0.39473589709084084
screening_4,S2-14-rule2,2,14,2,0.39949146012588943,0.0817675742471623,1160,22.293013475862068,2.4011545620689656,1.0544336068965519,0.39949146012588943
screening_4,S2-14-rule4,2,14,4,0.4007040637041598,0.08180728380477859,1160,21.721771755172416,2.4426702293103446,1.093451927586207,0.4007040637041598
screening_4,S3-14-rule2,3,14,2,0.402100514951081,0.08197983458856346,1160,22.105702654310345,2.4346705637931034,1.1177924948275864,0.402100514951081
screening_4,S3-14-rule4,3,14,4,0.40300497428503007,0.08179539243058581,1160,21.557499801724138,2.4721787077586206,1.156682302586207,0.40300497428503007
screening_4,S3-12-rule2,3,12,2,0.40465463091484344,0.068937167941135,740,16.725882105405404,2.74586227972973,1.1582669527027027,0.40465463091484344
screening_4,S3-12-rule4,3,12,4,0.406180641511154,0.06882368669314445,740,16.164080332432434,2.789692898648649,1.2027983337837838,0.406180641511154
